,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,
iota_multiplayer.bindings_common,mp common,,,,,,,,联机常用,,,
iota_multiplayer.bindingsdesc_common,mp common bindings.,,,,,,,,联机常用的按键绑定。,,,
iota_multiplayer.binding_switch_player,switch player,,,,,,,,切换玩家,,,
iota_multiplayer.bindingdesc_switch_player,switch camera&gui between players.,,,,,,,,在玩家之间切换摄像机和用户界面。,,,
iota_multiplayer.binding_toggle_teleport,toggle teleport,,,,,,,,开关传送,,,
iota_multiplayer.bindingdesc_toggle_teleport,enable/disable auto teleport.,,,,,,,,启用/禁用自动传送。,,,
iota_multiplayer.bindings_player,player $0,,,,,,,,玩家$0,,,
iota_multiplayer.bindingsdesc_player,player $0 bindings.,,,,,,,,玩家$0的按键绑定。,,,
iota_multiplayer.bindingdesc_player,control player $0 $1.,,,,,,,,控制玩家$0$1。,,,
iota_multiplayer.bindingdesc_aim,"control player $0 $1, unbind to use mouse aiming.",,,,,,,,控制玩家$0$1，解绑以使用鼠标瞄准。,,,
iota_multiplayer.setting_player_num,Player num,,,,,,,,玩家数量,,,
iota_multiplayer.settingdesc_player_num,How much players do you want?,,,,,,,,需要多少玩家？,,,
iota_multiplayer.setting_temple_heart_share,Temple heart share,,,,,,,,圣山红心共享,,,
iota_multiplayer.settingdesc_temple_heart_share,Do temple hearts spawn for others when picked up?,,,,,,,,圣山红心被捡起时是否为其他玩家生成？,,,
iota_multiplayer.setting_temple_refresh_share,Temple refresh share,,,,,,,,圣山刷新器共享,,,
iota_multiplayer.settingdesc_temple_refresh_share,Do temple refreshs spawn for others when picked up?,,,,,,,,圣山刷新器被捡起时是否为其他玩家生成？,,,
iota_multiplayer.setting_temple_perk_respawn,Temple perk respawn,,,,,,,,圣山天赋重新生成,,,
iota_multiplayer.settingdesc_temple_perk_respawn,Do temple perks respawn for others when picked up?,,,,,,,,圣山天赋被捡起时是否为其他玩家重新生成？,,,
iota_multiplayer.setting_kick_immunity,Kick immunity,,,,,,,,踢击免疫,,,
iota_multiplayer.settingdesc_kick_immunity,Do players not drop items when kicked?,,,,,,,,玩家被踢击时是否不掉物品？,,,
