,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,
iota_multiplayer.bindings_common,mp common,,,,,,,,联机常用,,,
iota_multiplayer.bindingsdesc_common,mp common bindings.,,,,,,,,联机常用的键绑定。,,,
iota_multiplayer.binding_switch_player,switch player,,,,,,,,切换玩家,,,
iota_multiplayer.bindingdesc_switch_player,switch gui/camera in players.,,,,,,,,在玩家中切换界面/摄像机。,,,
iota_multiplayer.binding_toggle_teleport,toggle teleport,,,,,,,,开关传送,,,
iota_multiplayer.bindingdesc_toggle_teleport,enable/disable auto teleport.,,,,,,,,启用/禁用自动传送。,,,
iota_multiplayer.bindingsdesc_player,player $0 bindings.,,,,,,,,玩家$0的键绑定。,,,
iota_multiplayer.bindingdesc_player,controls player $0.,,,,,,,,控制玩家$0。,,,
iota_multiplayer.binding_aimv,aim up/down,,,,,,,,瞄准 向上/向下,,,
iota_multiplayer.binding_aimh,aim left/right,,,,,,,,瞄准 向左/向右,,,
iota_multiplayer.bindingdesc_aim,"controls player $0, unbind to use mouse aiming.",,,,,,,,控制玩家$0，解绑以使用鼠标瞄准。,,,
